2025-12-10 21:12:17 | INFO     | core.face_recognizer:_create_session:88 | Recognizer using provider: CUDAExecutionProvider
2025-12-10 21:12:17 | INFO     | core.face_recognizer:__init__:54 | FaceRecognizer initialized: model=C:\Python_Projects\Face-Re-ID-Access-Management-Attendance-System\models\w600k_r50.onnx, input_size=(112, 112), gpu=True
2025-12-10 21:12:17 | INFO     | core.face_database:_load:112 | Loaded face database: 0 persons
2025-12-10 21:12:17 | INFO     | core.face_database:__init__:73 | FaceDatabase initialized: 0 persons, dimension=512, path=C:\Python_Projects\Face-Re-ID-Access-Management-Attendance-System\data\embeddings
2025-12-10 21:12:17 | INFO     | core.recognition_pipeline:__init__:72 | RecognitionPipeline initialized
2025-12-10 21:12:17 | INFO     | attendance.attendance_service:__init__:44 | AttendanceService initialized: dedup=60min, exit_tracking=False
2025-12-10 21:12:18 | INFO     | attendance.attendance_service:__init__:44 | AttendanceService initialized: dedup=60min, exit_tracking=False
2025-12-10 21:12:18 | INFO     | attendance.attendance_service:__init__:44 | AttendanceService initialized: dedup=60min, exit_tracking=False
2025-12-10 21:12:18 | INFO     | __main__:_start_recognition:546 | Recognition thread started
2025-12-10 21:12:18 | INFO     | __main__:__init__:179 | Main window initialized
2025-12-10 21:12:18 | INFO     | gui.threads.recognition_thread:run:98 | Recognition thread started
2025-12-10 21:19:02 | INFO     | attendance.attendance_service:create_person:260 | Created person: Alif (ID: 2024)
2025-12-10 21:19:02 | INFO     | core.face_database:add_person:180 | Added person: Alif (ID: 2024, FAISS: 0)
2025-12-10 21:19:02 | INFO     | attendance.attendance_service:link_face_embedding:330 | Linked embedding 0 to Alif
2025-12-10 21:19:02 | INFO     | core.face_database:save:133 | Saved face database: 1 persons
2025-12-10 21:19:41 | INFO     | gui.pages.camera_view_page:_add_camera:314 | Added camera: Main Webcam (CAM0)
2025-12-10 21:19:44 | INFO     | gui.threads.camera_thread:_connect:125 | [CAM0] Connected: 640x480
2025-12-10 21:19:45 | INFO     | attendance.attendance_service:record_attendance:127 | Attendance recorded: Alif (2024) - entry at 21:19:45
2025-12-10 21:19:45 | INFO     | gui.pages.camera_view_page:_record_attendance:436 | Attendance: Alif (2024) - entry
2025-12-10 21:22:21 | INFO     | gui.threads.recognition_thread:run:151 | Recognition thread stopped
2025-12-10 21:22:21 | INFO     | gui.threads.camera_thread:stop:194 | [CAM0] Thread stopped
